Category,Value
xxxxxxxxxxxxxxxxxxxxxxxxx.broad.hk.hi.dynamic.163data.com.cn
com.cn
campaigns@freetibet.org
www.indexindian.com
bg_2106.pdf
61.188.87.58
221.5.250.98
opennet.net
www.nato.int
www.networkcia.com
www.afa.org
www.csmonitor.com
www.slate.com
www.macfeeresponse.com
Crouching_Powerpoint_Hidden_Trojan_24C3.pdf
lookbytheway.net
www.indexnews.org
07-F-2105doc1.pdf
Dalailama.com
www.macfeeresponse.org
bigwww.com
www.citzenlab.org
www.lookbytheway.com
www.msnppt.net
blog.stopbadware.org
www.itu.int
www.lookbytheway.net
rising-hackers.pdf
www.msnyf.com
www.webpronews.com
3322.org
www.daemon.be
infowar-monitor.net
ONI_Belarus_Country_Study.pdf
macfeeresponse.org
www.dod.mil
www.globalsecurity.org
xxxxxxxxxxx.broad.hk
VirusTotal.com
www.businessweek.com
findarticles.com
www.msnxy.net
218.241.153.61
Deibert.pdf
www.insidetech.com
Exile.doc
kn.theiet.org
58.141.132.66
221.10.254.248
losttemp33@hotmail.com
www.heritage.org
www.secdev.ca
freetibet.org
www.infowar-monitor.net
xxxxxxxxxxxx.broad.hk.hi.dynamic.163data.com.cn
fmso.leavenworth.army.mil
Vanhorenbeeck.pdf
124.135.97.21
victorycyberspace.pdf
79f7f4695b8878cf1760e8626129ca88
ea03a7359505e19146994ad77b2a1e46
Fritz_HOW-CHINA-WILL-USE-CYBER-WARFARE(Oct-01-08).pdf
politics.slashdot.org
China-Military-Power-final.pdf
archive.newsmax.com
www.sfgate.com
unrestricted.pdf
www.marketwatch.com
www.amnestyusa.org
www.economist.com
asia.cnet.com
www.ftc.gov
www.amnesty.org
www.csis.org
hacker.ge
technology.guardian.co.uk
www.iht.com
slashdot.org
www.computerworld.com
www.rand.org
www.spacewar.com
www.rsf.org
Scientology.org
www.internetevolution.com
www.cfr.org
www.scmagazineus.com
BH-Fed-06-Maynor-Graham-up.pdf
08_05_20_trans.pdf
www.breitbart.com
www.treehugger.com
www.dallasnews.com
www.foreignaffairs.org
www.postimees.ee
www.physorg.com
060626_asia_balance_powers.pdf
fas.org
www.greenleft.org.au
www.usatoday.com
www.voipwiki.com
info_ops_roadmap.pdf
www.itnews.com.au
sinodefence.com
www.techweb.com
www.globalsecurity.org
www.uscc.gov
sbdcnet.utsa.edu
www.independent.co.uk
www.asiamedia.ucla.edu
www.voanews.com
www.upiasiaonline.com
article.pl
www.techbriefs.com
www.landfield.com
www.ibls.com
www.stsc.hill.af.mil
sci.com
www.tzengs.com
MR580.pdf
www.gcn.com
www.chinanews.cn
www.people.fas.harvard.edu
_and_Harmonious_World.pdf
www.notebookreview.com
belfercenter.ksg.harvard.edu
Chinanews.cn
cryptome.org
www.thestandard.com
Alberts_NCW.pdf
loosewire.typepad.com
www.guardian.co.uk
www.australianit.news.com.au
qwika.com
www.sinodefence.com
gas_stations.pdf
www.theage.com.au
www.wftv.com
friedman.pdf
www.nasa.gov
www.jamestown.org
p533.pdf
papers.ssrn.com
www.heritage.org
www.gao.gov
irchelp.org
shashoujian.pdf
www.claws-and-paws.com
www.globalresearch.ca
www.tiraspoltimes.com
abcnews.go.com
www.koreatimes.co.kr
lrtranslations.blogspot.com
www.news.com.au
chinaview.wordpress.com
opennet.net
ity.org
www.textfiles.com
www.networkworld.com
en.rian.ru
www.csmonitor.com
www.upi.com
yro.slashdot.org
www.robson.org
web.archive.org
www.briancuban.com
www.appleinsider.com
www.sciencedaily.com
www.dni.gov
www.radioaustralia.net.au
co.uk
technology.timesonline.co.uk
d011073t.pdf
www.defenselink.mil
code.red
programs.ssrc.org
www.chicagotribune.com
www.macworld.com
Alberts_IAT.pdf
business.smh.com.au
www.terrorism.com
www.strategycenter.net
www.epl.ee
venturebeat.com
www.infowar-monitor.net
Digg.com
www.streem.com.au
www.defensetech.org
www.pbs.org
www.engadget.com
www.zone-h.org
www.totse.com
www.informaworld.com
news.cnet.com
www.infoworld.com
chinanavy2007.pdf
www.pcworld.com
warez.ge
www.sunstar.com.ph
searchsecurity.techtarget.com
www.newsweek.com
news.bbc.co
StopGeorgia.ru
www.howstuffworks.com
www.atimes.com
www.blackhat.com
zoushoku.narc.affrc.go.jp
www.dodccrp.org
www.abc.net.au
www.wsws.org
www.aol.com.au
www.sbcc-chamber.com
www.airforcetimes.com
towards.one
www.allbusiness.com
www.popularmechanics.com
english.people.com.cn
wikipedia.qwika.com
www.fas.org
www.nottingham.ac.uk
www.StategicStudiesInstitute.army.mil
library.nmsu.edu
news.com.com
www.clevelandfed.org
www.comw.org
www.sciam.com
www.gwu.edu
info.anu.edu.au
556_10535_798405_Annex87_CyberAttacks.pdf
www.georgiaupdate.gov.ge
79.135.167.22
62.168.168.9
president.gov.ge
stopgeorgia.info
kavkaz.org
www.parliament.ge
thecanadianmeds.com
www.president.gov.ge
cybersecurity.ru
www.apsny.ge
Stopgeorgia.ru
www.saesa.gov.ge
79.135.167.49
Shadowserver.org
Xaker.ru
mfa.gov.ge
www.skandaly.ru
hacker.ru
Skandaly.ru
googlecomaolcomyahoocomaboutcom.net
Bryansk.ru
mod.gov.ge
chechenpress.com
name.avi.exe
kavkazcenter.com
Ripe.net
